PolygonID,EntityHand,PointID,X,Y,State Abbreviation
1,22,1,1.1371,1.38688,HI
1,22,2,1.23535,1.33019,HI
1,22,3,1.23535,1.21669,HI
1,22,4,1.1371,1.15994,HI
1,22,5,1.03879,1.21669,HI
1,22,6,1.03879,1.33019,HI
1,22,7,1.1371,1.38688,HI
2,22,1,1.43192,1.21669,HI
2,22,2,1.53017,1.15994,HI
2,22,3,1.53017,1.0465,HI
2,22,4,1.43192,0.989746,HI
2,22,5,1.3336,1.0465,HI
2,22,6,1.3336,1.15994,HI
2,22,7,1.43192,1.21669,HI
3,22,1,1.62847,0.876247,HI
3,22,2,1.62847,0.989746,HI
3,22,3,1.72672,1.0465,HI
3,22,4,1.82497,0.989746,HI
3,22,5,1.82497,0.876247,HI
3,22,6,1.72672,0.819553,HI
3,22,7,1.72672,0.706054,HI
3,22,8,1.62847,0.649251,HI
3,22,9,1.53017,0.706054,HI
3,22,10,1.53017,0.819553,HI
3,22,11,1.62847,0.876247,HI
4,4F,1,3.88872,4.79112,MI
4,4F,2,3.98699,4.73443,MI
4,4F,3,3.98699,4.62088,MI
4,4F,4,3.88872,4.56418,MI
4,4F,5,3.88872,4.45074,MI
4,4F,6,3.79042,4.39399,MI
4,4F,7,3.69217,4.45074,MI
4,4F,8,3.69217,4.56418,MI
4,4F,9,3.59392,4.62088,MI
4,4F,10,3.59392,4.73443,MI
4,4F,11,3.69217,4.79112,MI
4,4F,12,3.79042,4.73443,MI
4,4F,13,3.88872,4.79112,MI
5,4F,1,4.38004,4.62088,MI
5,4F,2,4.47835,4.56418,MI
5,4F,3,4.47835,4.45074,MI
5,4F,4,4.57661,4.39399,MI
5,4F,5,4.57661,4.28049,MI
5,4F,6,4.47835,4.22379,MI
5,4F,7,4.47835,4.11029,MI
5,4F,8,4.38004,4.05354,MI
5,4F,9,4.38004,3.94011,MI
5,4F,10,4.47835,3.88336,MI
5,4F,11,4.47835,3.76986,MI
5,4F,12,4.38004,3.71317,MI
5,4F,13,4.28179,3.76986,MI
5,4F,14,4.18354,3.71317,MI
5,4F,15,4.08524,3.76986,MI
5,4F,16,3.98699,3.71317,MI
5,4F,17,3.88872,3.76986,MI
5,4F,18,3.88872,3.88336,MI
5,4F,19,3.98699,3.94011,MI
5,4F,20,3.98699,4.05354,MI
5,4F,21,3.88872,4.11029,MI
5,4F,22,3.88872,4.22379,MI
5,4F,23,3.98699,4.28049,MI
5,4F,24,3.98699,4.39399,MI
5,4F,25,4.08524,4.45074,MI
5,4F,26,4.08524,4.56418,MI
5,4F,27,4.18354,4.62088,MI
5,4F,28,4.28179,4.56418,MI
5,4F,29,4.38004,4.62088,MI
6,6D,1,7.32824,5.07482,ME
6,6D,2,7.32824,4.96137,ME
6,6D,3,7.22999,4.90462,ME
6,6D,4,7.13167,4.96137,ME
6,6D,5,7.13167,5.07482,ME
6,6D,6,7.03342,5.13157,ME
6,6D,7,7.03342,5.24507,ME
6,6D,8,7.13167,5.30181,ME
6,6D,9,7.13167,5.41525,ME
6,6D,10,7.22999,5.472,ME
6,6D,11,7.32824,5.41525,ME
6,6D,12,7.32824,5.30181,ME
6,6D,13,7.42649,5.24507,ME
6,6D,14,7.42649,5.13157,ME
7,7D,1,2.61117,3.59967,NE
7,7D,2,2.70942,3.54292,NE
7,7D,3,2.70942,3.42947,NE
7,7D,4,2.80772,3.37272,NE
7,7D,5,2.80772,3.25922,NE
7,7D,6,2.70942,3.20247,NE
7,7D,7,2.61117,3.25922,NE
7,7D,8,2.51292,3.20247,NE
7,7D,9,2.41461,3.25922,NE
7,7D,10,2.41461,3.37272,NE
7,7D,11,2.31635,3.42947,NE
7,7D,12,2.2181,3.37272,NE
7,7D,13,2.11979,3.42947,NE
7,7D,14,2.11979,3.54292,NE
7,7D,15,2.2181,3.59967,NE
7,7D,16,2.31635,3.54292,NE
7,7D,17,2.41461,3.59967,NE
7,7D,18,2.51292,3.54292,NE
8,91,1,4.67492,1.38688,FL
8,91,2,4.77317,1.33019,FL
8,91,3,4.87142,1.38688,FL
8,91,4,4.96972,1.33019,FL
8,91,5,5.06799,1.38688,FL
8,91,6,5.16624,1.33019,FL
8,91,7,5.26454,1.38688,FL
8,91,8,5.36279,1.33019,FL
8,91,9,5.36279,1.21669,FL
8,91,10,5.26454,1.15994,FL
8,91,11,5.26454,1.0465,FL
8,91,12,5.36279,0.989746,FL
8,91,13,5.36279,0.876247,FL
8,91,14,5.26454,0.819553,FL
8,91,15,5.26454,0.706054,FL
8,91,16,5.36279,0.649251,FL
8,91,17,5.36279,0.535861,FL
8,91,18,5.46104,0.479113,FL
8,91,19,5.46104,0.365614,FL
8,91,20,5.36279,0.308865,FL
8,91,21,5.36279,0.195421,FL
8,91,22,5.26454,0.138672,FL
8,91,23,5.16624,0.195421,FL
8,91,24,5.06799,0.138672,FL
8,91,25,4.96972,0.195421,FL
8,91,26,4.87142,0.138672,FL
8,91,27,4.77317,0.195421,FL
8,91,28,4.77317,0.308865,FL
8,91,29,4.67492,0.365614,FL
8,91,30,4.67492,0.479113,FL
8,91,31,4.57661,0.535861,FL
8,91,32,4.57661,0.649251,FL
8,91,33,4.47835,0.706054,FL
8,91,34,4.47835,0.819553,FL
8,91,35,4.57661,0.876247,FL
8,91,36,4.57661,0.989746,FL
8,91,37,4.47835,1.0465,FL
8,91,38,4.47835,1.15994,FL
8,91,39,4.38004,1.21669,FL
8,91,40,4.28179,1.15994,FL
8,91,41,4.18354,1.21669,FL
8,91,42,4.18354,1.33019,FL
8,91,43,4.28179,1.38688,FL
8,91,44,4.38004,1.33019,FL
8,91,45,4.47835,1.38688,FL
8,91,46,4.57661,1.33019,FL
9,C1,1,6.73861,4.96137,VT
9,C1,2,6.73861,5.07482,VT
9,C1,3,6.64035,5.13157,VT
9,C1,4,6.64035,5.24507,VT
9,C1,5,6.73861,5.30181,VT
9,C1,6,6.83686,5.24507,VT
9,C1,7,6.83686,5.13157,VT
9,C1,8,6.93517,5.07482,VT
9,C1,9,6.93517,4.96137,VT
9,C1,10,6.83686,4.90462,VT
9,C1,11,6.83686,4.79112,VT
9,C1,12,6.73861,4.73443,VT
9,C1,13,6.64035,4.79112,VT
9,C1,14,6.64035,4.90462,VT
10,D1,1,7.03342,4.79112,NH
10,D1,2,6.93517,4.73443,NH
10,D1,3,6.83686,4.79112,NH
10,D1,4,6.83686,4.90462,NH
10,D1,5,6.93517,4.96137,NH
10,D1,6,6.93517,5.07482,NH
10,D1,7,6.83686,5.13157,NH
10,D1,8,6.83686,5.24507,NH
10,D1,9,6.93517,5.30181,NH
10,D1,10,7.03342,5.24507,NH
10,D1,11,7.03342,5.13157,NH
10,D1,12,7.13167,5.07482,NH
10,D1,13,7.13167,4.96137,NH
10,D1,14,7.22999,4.90462,NH
10,D1,15,7.22999,4.79112,NH
10,D1,16,7.13167,4.73443,NH
11,E3,1,6.83686,4.79112,MA
11,E3,2,6.93517,4.73443,MA
11,E3,3,7.03342,4.79112,MA
11,E3,4,7.13167,4.73443,MA
11,E3,5,7.22999,4.79112,MA
11,E3,6,7.32824,4.73443,MA
11,E3,7,7.42649,4.79112,MA
11,E3,8,7.52479,4.73443,MA
11,E3,9,7.52479,4.62088,MA
11,E3,10,7.62304,4.56418,MA
11,E3,11,7.62304,4.45074,MA
11,E3,12,7.52479,4.39399,MA
11,E3,13,7.42649,4.45074,MA
11,E3,14,7.32824,4.39399,MA
11,E3,15,7.22999,4.45074,MA
11,E3,16,7.13167,4.39399,MA
11,E3,17,7.03342,4.45074,MA
11,E3,18,6.93517,4.39399,MA
11,E3,19,6.83686,4.45074,MA
11,E3,20,6.73861,4.39399,MA
11,E3,21,6.64035,4.45074,MA
11,E3,22,6.54204,4.39399,MA
11,E3,23,6.44379,4.45074,MA
11,E3,24,6.44379,4.56418,MA
11,E3,25,6.54204,4.62088,MA
11,E3,26,6.54204,4.73443,MA
11,E3,27,6.64035,4.79112,MA
11,E3,28,6.73861,4.73443,MA
12,101,1,3.59392,4.62088,WI
12,101,2,3.69217,4.56418,WI
12,101,3,3.69217,4.45074,WI
12,101,4,3.79042,4.39399,WI
12,101,5,3.79042,4.28049,WI
12,101,6,3.69217,4.22379,WI
12,101,7,3.69217,4.11029,WI
12,101,8,3.59392,4.05354,WI
12,101,9,3.59392,3.94011,WI
12,101,10,3.69217,3.88336,WI
12,101,11,3.69217,3.76986,WI
12,101,12,3.59392,3.71317,WI
12,101,13,3.49561,3.76986,WI
12,101,14,3.49561,3.88336,WI
12,101,15,3.39735,3.94011,WI
12,101,16,3.29904,3.88336,WI
12,101,17,3.20079,3.94011,WI
12,101,18,3.20079,4.05354,WI
12,101,19,3.29904,4.11029,WI
12,101,20,3.29904,4.22379,WI
12,101,21,3.20079,4.28049,WI
12,101,22,3.20079,4.39399,WI
12,101,23,3.29904,4.45074,WI
12,101,24,3.29904,4.56418,WI
12,101,25,3.39735,4.62088,WI
12,101,26,3.49561,4.56418,WI
13,11D,1,6.83686,4.45074,CT
13,11D,2,6.93517,4.39399,CT
13,11D,3,6.93517,4.28049,CT
13,11D,4,7.03342,4.22379,CT
13,11D,5,7.03342,4.11029,CT
13,11D,6,6.93517,4.05354,CT
13,11D,7,6.93517,3.94011,CT
13,11D,8,6.83686,3.88336,CT
13,11D,9,6.73861,3.94011,CT
13,11D,10,6.64035,3.88336,CT
13,11D,11,6.54204,3.94011,CT
13,11D,12,6.54204,4.05354,CT
13,11D,13,6.44379,4.11029,CT
13,11D,14,6.44379,4.22379,CT
13,11D,15,6.54204,4.28049,CT
13,11D,16,6.54204,4.39399,CT
13,11D,17,6.64035,4.45074,CT
13,11D,18,6.73861,4.39399,CT
14,131,1,7.22999,4.45074,RI
14,131,2,7.32824,4.39399,RI
14,131,3,7.32824,4.28049,RI
14,131,4,7.42649,4.22379,RI
14,131,5,7.42649,4.11029,RI
14,131,6,7.32824,4.05354,RI
14,131,7,7.22999,4.11029,RI
14,131,8,7.13167,4.05354,RI
14,131,9,7.03342,4.11029,RI
14,131,10,7.03342,4.22379,RI
14,131,11,6.93517,4.28049,RI
14,131,12,6.93517,4.39399,RI
14,131,13,7.03342,4.45074,RI
14,131,14,7.13167,4.39399,RI
15,141,1,1.43192,4.28049,WA
15,141,2,1.53017,4.22379,WA
15,141,3,1.53017,4.11029,WA
15,141,4,1.62847,4.05354,WA
15,141,5,1.72672,4.11029,WA
15,141,6,1.82497,4.05354,WA
15,141,7,1.92324,4.11029,WA
15,141,8,2.02154,4.05354,WA
15,141,9,2.02154,3.94011,WA
15,141,10,1.92324,3.88336,WA
15,141,11,1.92324,3.76986,WA
15,141,12,1.82497,3.71317,WA
15,141,13,1.72672,3.76986,WA
15,141,14,1.62847,3.71317,WA
15,141,15,1.53017,3.76986,WA
15,141,16,1.43192,3.71317,WA
15,141,17,1.3336,3.76986,WA
15,141,18,1.23535,3.71317,WA
15,141,19,1.1371,3.76986,WA
15,141,20,1.03879,3.71317,WA
15,141,21,0.940539,3.76986,WA
15,141,22,0.940539,3.88336,WA
15,141,23,1.03879,3.94011,WA
15,141,24,1.03879,4.05354,WA
15,141,25,1.1371,4.11029,WA
15,141,26,1.1371,4.22379,WA
15,141,27,1.23535,4.28049,WA
15,141,28,1.3336,4.22379,WA
16,15F,1,2.41461,4.28049,MT
16,15F,2,2.51292,4.22379,MT
16,15F,3,2.51292,4.11029,MT
16,15F,4,2.41461,4.05354,MT
16,15F,5,2.41461,3.94011,MT
16,15F,6,2.31635,3.88336,MT
16,15F,7,2.2181,3.94011,MT
16,15F,8,2.2181,4.05354,MT
16,15F,9,2.11979,4.11029,MT
16,15F,10,2.11979,4.22379,MT
16,15F,11,2.2181,4.28049,MT
16,15F,12,2.31635,4.22379,MT
17,16D,1,3.20079,4.28049,MN
17,16D,2,3.29904,4.22379,MN
17,16D,3,3.29904,4.11029,MN
17,16D,4,3.20079,4.05354,MN
17,16D,5,3.20079,3.94011,MN
17,16D,6,3.29904,3.88336,MN
17,16D,7,3.29904,3.76986,MN
17,16D,8,3.20079,3.71317,MN
17,16D,9,3.20079,3.59967,MN
17,16D,10,3.10254,3.54292,MN
17,16D,11,3.00424,3.59967,MN
17,16D,12,2.90597,3.54292,MN
17,16D,13,2.80772,3.59967,MN
17,16D,14,2.70942,3.54292,MN
17,16D,15,2.61117,3.59967,MN
17,16D,16,2.61117,3.71317,MN
17,16D,17,2.70942,3.76986,MN
17,16D,18,2.70942,3.88336,MN
17,16D,19,2.80772,3.94011,MN
17,16D,20,2.80772,4.05354,MN
17,16D,21,2.90597,4.11029,MN
17,16D,22,2.90597,4.22379,MN
17,16D,23,3.00424,4.28049,MN
17,16D,24,3.10254,4.22379,MN
18,187,1,5.36279,4.28049,PA
18,187,2,5.46104,4.22379,PA
18,187,3,5.55935,4.28049,PA
18,187,4,5.65761,4.22379,PA
18,187,5,5.75586,4.28049,PA
18,187,6,5.85417,4.22379,PA
18,187,7,5.95242,4.28049,PA
18,187,8,6.05072,4.22379,PA
18,187,9,6.05072,4.11029,PA
18,187,10,6.14899,4.05354,PA
18,187,11,6.14899,3.94011,PA
18,187,12,6.05072,3.88336,PA
18,187,13,6.05072,3.76986,PA
18,187,14,5.95242,3.71317,PA
18,187,15,5.95242,3.59967,PA
18,187,16,5.85417,3.54292,PA
18,187,17,5.75586,3.59967,PA
18,187,18,5.65761,3.54292,PA
18,187,19,5.55935,3.59967,PA
18,187,20,5.46104,3.54292,PA
18,187,21,5.36279,3.59967,PA
18,187,22,5.26454,3.54292,PA
18,187,23,5.16624,3.59967,PA
18,187,24,5.16624,3.71317,PA
18,187,25,5.06799,3.76986,PA
18,187,26,5.06799,3.88336,PA
18,187,27,4.96972,3.94011,PA
18,187,28,4.96972,4.05354,PA
18,187,29,5.06799,4.11029,PA
18,187,30,5.06799,4.22379,PA
18,187,31,5.16624,4.28049,PA
18,187,32,5.26454,4.22379,PA
19,1A9,1,1.82497,3.59967,ID
19,1A9,2,1.82497,3.71317,ID
19,1A9,3,1.92324,3.76986,ID
19,1A9,4,1.92324,3.88336,ID
19,1A9,5,2.02154,3.94011,ID
19,1A9,6,2.02154,4.05354,ID
19,1A9,7,2.11979,4.11029,ID
19,1A9,8,2.2181,4.05354,ID
19,1A9,9,2.2181,3.94011,ID
19,1A9,10,2.11979,3.88336,ID
19,1A9,11,2.11979,3.76986,ID
19,1A9,12,2.02154,3.71317,ID
19,1A9,13,2.02154,3.59967,ID
19,1A9,14,1.92324,3.54292,ID
19,1A9,15,1.92324,3.42947,ID
19,1A9,16,1.82497,3.37272,ID
19,1A9,17,1.72672,3.42947,ID
19,1A9,18,1.72672,3.54292,ID
20,1BD,1,2.70942,4.11029,ND
20,1BD,2,2.80772,4.05354,ND
20,1BD,3,2.80772,3.94011,ND
20,1BD,4,2.70942,3.88336,ND
20,1BD,5,2.70942,3.76986,ND
20,1BD,6,2.61117,3.71317,ND
20,1BD,7,2.51292,3.76986,ND
20,1BD,8,2.51292,3.88336,ND
20,1BD,9,2.41461,3.94011,ND
20,1BD,10,2.41461,4.05354,ND
20,1BD,11,2.51292,4.11029,ND
20,1BD,12,2.61117,4.05354,ND
21,1CB,1,4.67492,4.11029,OH
21,1CB,2,4.77317,4.05354,OH
21,1CB,3,4.87142,4.11029,OH
21,1CB,4,4.96972,4.05354,OH
21,1CB,5,4.96972,3.94011,OH
21,1CB,6,5.06799,3.88336,OH
21,1CB,7,5.06799,3.76986,OH
21,1CB,8,5.16624,3.71317,OH
21,1CB,9,5.16624,3.59967,OH
21,1CB,10,5.06799,3.54292,OH
21,1CB,11,5.06799,3.42947,OH
21,1CB,12,4.96972,3.37272,OH
21,1CB,13,4.96972,3.25922,OH
21,1CB,14,4.87142,3.20247,OH
21,1CB,15,4.77317,3.25922,OH
21,1CB,16,4.67492,3.20247,OH
21,1CB,17,4.67492,3.08903,OH
21,1CB,18,4.57661,3.03228,OH
21,1CB,19,4.47835,3.08903,OH
21,1CB,20,4.47835,3.20247,OH
21,1CB,21,4.38004,3.25922,OH
21,1CB,22,4.38004,3.37272,OH
21,1CB,23,4.28179,3.42947,OH
21,1CB,24,4.28179,3.54292,OH
21,1CB,25,4.38004,3.59967,OH
21,1CB,26,4.38004,3.71317,OH
21,1CB,27,4.47835,3.76986,OH
21,1CB,28,4.47835,3.88336,OH
21,1CB,29,4.38004,3.94011,OH
21,1CB,30,4.38004,4.05354,OH
21,1CB,31,4.47835,4.11029,OH
21,1CB,32,4.57661,4.05354,OH
22,1ED,1,6.44379,3.76986,NJ
22,1ED,2,6.54204,3.71317,NJ
22,1ED,3,6.54204,3.59967,NJ
22,1ED,4,6.44379,3.54292,NJ
22,1ED,5,6.44379,3.42947,NJ
22,1ED,6,6.54204,3.37272,NJ
22,1ED,7,6.54204,3.25922,NJ
22,1ED,8,6.44379,3.20247,NJ
22,1ED,9,6.44379,3.08903,NJ
22,1ED,10,6.34549,3.03228,NJ
22,1ED,11,6.24724,3.08903,NJ
22,1ED,12,6.14899,3.03228,NJ
22,1ED,13,6.05072,3.08903,NJ
22,1ED,14,6.05072,3.20247,NJ
22,1ED,15,5.95242,3.25922,NJ
22,1ED,16,5.95242,3.37272,NJ
22,1ED,17,5.85417,3.42947,NJ
22,1ED,18,5.85417,3.54292,NJ
22,1ED,19,5.95242,3.59967,NJ
22,1ED,20,5.95242,3.71317,NJ
22,1ED,21,6.05072,3.76986,NJ
22,1ED,22,6.05072,3.88336,NJ
22,1ED,23,6.14899,3.94011,NJ
22,1ED,24,6.14899,4.05354,NJ
22,1ED,25,6.24724,4.11029,NJ
22,1ED,26,6.34549,4.05354,NJ
22,1ED,27,6.34549,3.94011,NJ
22,1ED,28,6.44379,3.88336,NJ
23,20B,1,2.02154,3.59967,WY
23,20B,2,2.02154,3.71317,WY
23,20B,3,2.11979,3.76986,WY
23,20B,4,2.11979,3.88336,WY
23,20B,5,2.2181,3.94011,WY
23,20B,6,2.31635,3.88336,WY
23,20B,7,2.31635,3.76986,WY
23,20B,8,2.2181,3.71317,WY
23,20B,9,2.2181,3.59967,WY
23,20B,10,2.11979,3.54292,WY
23,20B,11,2.11979,3.42947,WY
23,20B,12,2.02154,3.37272,WY
23,20B,13,1.92324,3.42947,WY
23,20B,14,1.92324,3.54292,WY
24,21B,1,2.41461,3.59967,SD
24,21B,2,2.31635,3.54292,SD
24,21B,3,2.2181,3.59967,SD
24,21B,4,2.2181,3.71317,SD
24,21B,5,2.31635,3.76986,SD
24,21B,6,2.31635,3.88336,SD
24,21B,7,2.41461,3.94011,SD
24,21B,8,2.51292,3.88336,SD
24,21B,9,2.51292,3.76986,SD
24,21B,10,2.61117,3.71317,SD
24,21B,11,2.61117,3.59967,SD
24,21B,12,2.51292,3.54292,SD
25,229,1,3.59392,3.71317,IL
25,229,2,3.69217,3.76986,IL
25,229,3,3.79042,3.71317,IL
25,229,4,3.79042,3.59967,IL
