election_dt,county_name,polling_place_id,polling_place_name,precinct_name,house_num,street_name,city,state,zip,full_address,lat,long
11/08/2022,ALAMANCE,1,ALAMANCE CIVITAN CLUB HOUSE,COBLE,3328,DOCTOR PICKETT RD,BURLINGTON,NC,27215,3328 DOCTOR PICKETT RD BURLINGTON NC 27215,NA,NA
11/08/2022,ALAMANCE,10,ELMIRA COMMUNITY CENTER,BURLINGTON 7,810,WICKER ST,BURLINGTON,NC,27217,810 WICKER ST BURLINGTON NC 27217,36.1069502,-79.4424479
11/08/2022,ALAMANCE,12,FIRST BAPTIST CHURCH OF ELON,NORTH BOONE,621,HAGGARD AVE,ELON,NC,27244,621 HAGGARD AVE ELON NC 27244,36.10377428996912,-79.49672487860882
11/08/2022,ALAMANCE,13,LAKEVIEW COMMUNITY CHURCH,FAUCETTE,101,BOONE RD,BURLINGTON,NC,27217,101 BOONE RD BURLINGTON NC 27217,NA,NA
11/08/2022,ALAMANCE,14,FELLOWSHIP BAPTIST CHURCH,GRAHAM 4,2744,MAPLE AVE,BURLINGTON,NC,27215,2744 MAPLE AVE BURLINGTON NC 27215,36.05805840025429,-79.43389237307791
11/08/2022,ALAMANCE,15,FIRST PRESBYTERIAN CHURCH,WEST BURLINGTON,508,DAVIS ST,BURLINGTON,NC,27215,508 DAVIS ST BURLINGTON NC 27215,36.0895224604874,-79.43315276904396
11/08/2022,ALAMANCE,16,GRAHAM CIVIC CENTER,EAST GRAHAM,503,MCGEE ST,GRAHAM,NC,27253,503 MCGEE ST GRAHAM NC 27253,36.06457950788231,-79.39183274730216
11/08/2022,ALAMANCE,17,GRAHAM RECREATION CENTER,NORTH GRAHAM,311,COLLEGE ST,GRAHAM,NC,27253,311 COLLEGE ST GRAHAM NC 27253,36.0766888,-79.40619497850567
11/08/2022,ALAMANCE,18,GROVE PARK BAPTIST CHURCH,BURLINGTON 5,108,TRAIL ONE,BURLINGTON,NC,27215,108 TRAIL ONE BURLINGTON NC 27215,36.08137158722364,-79.46142842952871
11/08/2022,ALAMANCE,19,HAW RIVER CIVIC CENTER,HAW RIVER,110,STONE ST,HAW RIVER,NC,27258,110 STONE ST HAW RIVER NC 27258,36.090997779469774,-79.36339008081845
11/08/2022,ALAMANCE,2,FAIRCHILD COMMUNITY CENTER,EAST BURLINGTON,827,GRAHAM-HOPEDALE RD,BURLINGTON,NC,27217,827 GRAHAM-HOPEDALE RD BURLINGTON NC 27217,36.10636444642517,-79.40430005155254
11/08/2022,ALAMANCE,20,HILLCREST ELEMENTARY SCHOOL,BURLINGTON 4,1714,DAVIS ST,BURLINGTON,NC,27215,1714 DAVIS ST BURLINGTON NC 27215,36.10409096057335,-79.46268763083812
11/08/2022,ALAMANCE,22,KERNODLE SENIOR ACTIVITIES CEN,BURLINGTON 8,1535,MEBANE ST,BURLINGTON,NC,27215,1535 MEBANE ST BURLINGTON NC 27215,36.078747,-79.449916
11/08/2022,ALAMANCE,23,MAYCO BIGELO CENTER,NORTH BURLINGTON,849,SHARPE RD,BURLINGTON,NC,27217,849 SHARPE RD BURLINGTON NC 27217,36.112786,-79.423523
11/08/2022,ALAMANCE,24,MEBANE ARTS COMMUNITY CENTER,SOUTH MELVILLE,622,CORREGIDOR ST,MEBANE,NC,27302,622 CORREGIDOR ST MEBANE NC 27302,NA,NA
11/08/2022,ALAMANCE,27,R HOMER ANDREWS ELEMENTARY SCH,GRAHAM 3,2630,BUCKINGHAM RD,BURLINGTON,NC,27217,2630 BUCKINGHAM RD BURLINGTON NC 27217,36.09304418602382,-79.38465816289282
11/08/2022,ALAMANCE,28,NEW BIRTH BAPTISH CHURCH,SOUTH BURLINGTON,424,FLANNER ST,BURLINGTON,NC,27215,424 FLANNER ST BURLINGTON NC 27215,36.08454136902167,-79.42914152746334
11/08/2022,ALAMANCE,29,HARVEY R NEWLIN ELEMENTARY SCH,WEST GRAHAM,316,CARDEN ST,BURLINGTON,NC,27215,316 CARDEN ST BURLINGTON NC 27215,36.07307005,-79.42081045530284
11/08/2022,ALAMANCE,30,PLEASANT GROVE ELEMENTARY SCHO,PLEASANT GROVE,2847,PLEASANT GROVE UNION SCHOOL RD,BURLINGTON,NC,27217,2847 PLEASANT GROVE UNION SCHOOL RD BURLINGTON NC 27217,NA,NA
11/08/2022,ALAMANCE,31,SALEM UNITED METHODIST CHURCH,SOUTH THOMPSON,4924,SALEM CHURCH RD,HAW RIVER,NC,27258,4924 SALEM CHURCH RD HAW RIVER NC 27258,35.973976750000006,-79.310648727396
11/08/2022,ALAMANCE,32,MARVIN B SMITH ELEMENTARY SCHO,SOUTH BOONE,2235,DELANEY DR,BURLINGTON,NC,27215,2235 DELANEY DR BURLINGTON NC 27215,36.0772418,-79.4787256
11/08/2022,ALAMANCE,33,MT HERMON COMMUNITY CENTER,ALBRIGHT,3735,BASS MOUNTAIN RD,GRAHAM,NC,27253,3735 BASS MOUNTAIN RD GRAHAM NC 27253,35.9864769,-79.3979823
11/08/2022,ALAMANCE,34,ST PAUL'S UNITED METHODIST CHU,BURLINGTON 10,609,TRAIL TWO,BURLINGTON,NC,27215,609 TRAIL TWO BURLINGTON NC 27215,36.07022464120495,-79.46187443128025
11/08/2022,ALAMANCE,35,SWEPSONVILLE FIRE STATION,NORTH THOMPSON,2744,DARRELL NEWTON DR,GRAHAM,NC,27253,2744 DARRELL NEWTON DR GRAHAM NC 27253,NA,NA
11/08/2022,ALAMANCE,36,TURRENTINE MIDDLE SCHOOL,BURLINGTON 6,1710,EDGEWOOD AVE,BURLINGTON,NC,27215,1710 EDGEWOOD AVE BURLINGTON NC 27215,36.09190678171369,-79.4627603431347
