GEOID,NAME,State,med_age,total_population,base_race,n_white,n_black,n_hispanic,n_foreign_born,base_households,n_single_parent_hh,base_25plus,n_bachelors,n_disability,med_income,n_soc_sec,n_veterans,mean_hrs_worked,med_gross_rent,DEMOCRAT,OTHER,REPUBLICAN,GREEN,LIBERTARIAN,total_votes,potus_dem_2020,potus_gop_2020,pct_dem_2020,pct_gop_2020,winner_2020
01001,"Autauga County, Alabama",Alabama,38.6,55639,55639,42150,10866,1601,55639,21559,15103,37860,6320,54553,57982,21559,41787,39.9,1011,7503,429,19838,0,0,27770,7503,19838,0.27018365142239825,0.714368023046453,GOP
01003,"Baldwin County, Alabama",Alabama,43.2,218289,218289,186504,19153,9947,218289,84047,56092,155563,31444,215669,61756,84047,170975,39.5,1032,24578,1557,83544,0,0,109679,24578,83544,0.22409029987509005,0.7617137282433283,GOP
01005,"Barbour County, Alabama",Alabama,40.1,25026,25026,11587,11929,1110,25026,9322,6083,17797,1296,22116,34990,9322,19804,39.2,587,4816,80,5622,0,0,10518,4816,5622,0.45788172656398557,0.5345122646891044,GOP
01007,"Bibb County, Alabama",Alabama,39.9,22374,22374,17138,5045,600,22374,7259,5276,15987,1183,20748,51721,7259,17790,39.9,693,1986,84,7525,0,0,9595,1986,7525,0.20698280354351226,0.7842626367899947,GOP
01009,"Blount County, Alabama",Alabama,41,57755,57755,54271,808,5362,57755,21205,15035,39814,3540,57274,48922,21205,44339,40.7,666,2640,237,24711,0,0,27588,2640,24711,0.09569377990430622,0.8957155284906481,GOP
01011,"Bullock County, Alabama",Alabama,39.7,10173,10173,2663,6980,824,10173,3429,2158,6784,413,9791,33866,3429,7894,40.4,559,3446,21,1146,0,0,4613,3446,1146,0.7470192933015392,0.24842835464990246,DEM
01013,"Butler County, Alabama",Alabama,41.2,19726,19726,10183,8795,290,19726,6649,4574,13820,1396,19450,44850,6649,15325,39.2,627,3965,65,5458,0,0,9488,3965,5458,0.4178962900505902,0.5752529510961214,GOP
01015,"Calhoun County, Alabama",Alabama,39.5,114324,114324,83801,24190,4406,114324,44572,29120,78967,8296,112733,50128,44572,89040,39.9,720,15216,666,35101,0,0,50983,15216,35101,0.29845242531824334,0.6884843967597042,GOP
01017,"Chambers County, Alabama",Alabama,41.9,33427,33427,19015,13372,843,33427,13582,9121,23771,2491,33021,43875,13582,26481,40.5,734,6365,166,8753,0,0,15284,6365,8753,0.41644857367181365,0.5726903951845067,GOP
01019,"Cherokee County, Alabama",Alabama,46.8,26035,26035,23970,1250,432,26035,10836,7385,19143,1202,25768,42509,10836,21032,39.2,626,1624,94,10583,0,0,12301,1624,10583,0.13202178684659785,0.8603365580034144,GOP
01021,"Chilton County, Alabama",Alabama,39.5,44147,44147,36260,4268,3423,44147,17140,12047,30153,2471,43811,52141,17140,33587,41,683,3073,152,16085,0,0,19310,3073,16085,0.1591403417918177,0.8329880890730191,GOP
01023,"Choctaw County, Alabama",Alabama,46.6,12755,12755,7253,5398,69,12755,5330,3453,9263,761,12630,36634,5330,10207,40.4,560,3127,41,4296,0,0,7464,3127,4296,0.41894426580921756,0.5755627009646302,GOP
